"DATA";"TMEDIA";"TMIN";"TMAX"
"2014-12-17";"8.414352893937153";"5.602551682741991";"11.510634725092618"
"2014-12-18";"8.0911460378968";"5.01353405192139";"11.10045633810642"
"2014-12-19";"7.3552698473332665";"4.1162457967503245";"11.646013440563301"
"2014-12-20";"6.861526640086458";"3.585361406701514";"9.34070763657978"
"2014-12-21";"5.683524806400304";"1.5235260365224665";"8.329322576842097"
"2014-12-22";"4.706661304237854";"0.674003853585291";"8.494170144702506"
"2014-12-23";"4.416976838879782";"0.6117511656254823";"8.068912427131378"
"2014-12-24";"3.7869663173810877";"0.5321758023340555";"7.22295671790913"
"2014-12-25";"3.6553088875960755";"0.45378407441714075";"7.428701212298351"
"2014-12-26";"4.568210440075373";"0.8322716302461454";"8.020290552728246"
"2014-12-27";"5.774984904254495";"1.3677757404225586";"10.715351193564075"
"2014-12-28";"7.309652202397163";"2.53497509451206";"12.371523293303524"
"2014-12-29";"6.948842120100595";"2.0071101526215425";"11.609676771611838"
"2014-12-30";"6.603747047806495";"1.6450117150694152";"11.85205154271674"
"2014-12-31";"6.685970180934954";"1.8490978871538695";"11.258063148397659"
"2015-01-01";"7.42384478356471";"3.291848110683616";"12.299063355963229"
"2015-01-02";"7.5731986568076515";"3.612687951024385";"12.146734770947807"
"2015-01-03";"9.668276671877383";"4.767922840718421";"14.101900111099194"
"2015-01-04";"9.287346378763251";"4.179684132768836";"14.42261556478391"
"2015-01-05";"8.998219248043252";"4.4848027389495915";"14.111195708660398"
"2015-01-06";"8.650596780798416";"4.593673745228839";"12.562625463842055"
"2015-01-07";"8.05886884926021";"4.0120407789427155";"12.01457983923903"
"2015-01-08";"7.9983542442502165";"2.9392441241142118";"12.661562352119752"
"2015-01-09";"8.475957019570467";"4.5668842656412085";"12.957717415904465"
"2015-01-10";"9.173655828696848";"4.701798223810968";"13.989591171885214"
"2015-01-11";"8.053351526406226";"3.877505709463473";"12.453801663094865"
"2015-01-12";"7.973017251506429";"4.147715650467343";"11.954788267011082"
"2015-01-13";"8.016250019081323";"5.016471594714043";"11.231977857038087"
"2015-01-14";"8.090794655769628";"4.885597334986384";"11.228450400840508"
"2015-01-15";"7.2733056449520115";"4.545767663165217";"9.865943689192804"
"2015-01-16";"7.164495947790847";"4.049006941619118";"10.872651553816961"
"2015-01-17";"7.22233921746004";"3.788544470100066";"11.518829714297851"
"2015-01-18";"7.701284703947477";"3.6120490585773366";"11.174155593415849"
"2015-01-19";"7.2723008391135915";"3.6514575475423587";"10.80112274500252"
"2015-01-20";"5.993703976680301";"2.236893454542317";"9.98547013723287"
"2015-01-21";"5.721228236507514";"2.8460637555095243";"9.824525854030208"
"2015-01-22";"6.196183752137938";"1.9826181100663764";"10.212624501479715"
"2015-01-23";"6.221618242142312";"2.5865586022251144";"10.392769954251285"
"2015-01-24";"6.316040340238228";"2.447086962379597";"10.036109826117718"
"2015-01-25";"6.092346116602476";"1.346920805543738";"10.118688247033766"
"2015-01-26";"5.507098683289208";"1.2652660533653148";"10.296240315814135"
"2015-01-27";"5.983815189263487";"2.5450620524600303";"9.68383526613301"
"2015-01-28";"6.3032071056853045";"3.101926798738177";"9.531783227550907"
"2015-01-29";"6.165174214131594";"2.776953213925184";"9.432871758912968"
"2015-01-30";"6.094340994180031";"3.434892670051085";"8.64631166336698"
"2015-01-31";"5.759983148703565";"2.7576560404165633";"9.4500461767999"
"2015-02-01";"5.148014281457136";"1.7147641482197293";"8.456986634446332"
"2015-02-02";"5.031942000744669";"1.2753520089147938";"9.540142804615888"
"2015-02-03";"6.1077049383789435";"1.0781149346025012";"11.25438165232968"
"2015-02-04";"6.359504804842873";"1.7938955199710096";"11.390691483889723"
